URL,Código de resposta,Erro de notícias,Detectado,Categoria
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-08-13/,404,,02/01/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-03-05/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-04-09/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-02-19/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-04-16/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-dicas-espertas-que-agilizam-o-seu-dia-a-dia-2014-04-04/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-03-19/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-02-26/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-03-26/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-dicas-espertas-que-agilizam-o-seu-dia-a-dia-2014-03-21/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-09-19/,404,,23/12/13,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-facebook-com-o-scup/,404,,09/11/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-11-26/,404,,27/12/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-11-06/feed/,404,,29/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-11-07/,404,,18/12/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-07-23/,404,,26/12/13,Não encontrado
